track_id,artist_name,track_title,track_genre_top,track_genres_all,set_split
000002,AWOL,Food,Hip-Hop,Hip-Hop,training
000005,AWOL,This World,Hip-Hop,Hip-Hop,training
000010,Kurt Vile,Freeway,Pop,Pop,training
000140,Alec K. Redfearn & the Eyesores,Queen Of The Wires,Folk,Folk,training
000141,Alec K. Redfearn & the Eyesores,Ohio,Folk,Folk,training
000148,Contradiction,Blackout 2,Experimental,"Avant-Garde, Experimental",validation
000182,Ariel Pink's Haunted Graffiti,Jules Lost His Jewels,Rock,"Lo-Fi, Rock",test
000190,Ed Askew,Castle Of Stars,Folk,Folk,training
000193,Ed Askew,Here With You,Folk,Folk,training
000194,Ed Askew,All I want to Do,Folk,Folk,training
000197,Ed Askew,Piano 2,Folk,Folk,training
000200,Ed Askew,Baby Come Home,Folk,Folk,training
000203,Ed Askew,Song For R,Folk,Folk,training
000204,Ed Askew,My Dream,Folk,Folk,training
000207,Ed Askew,Piano 3,Folk,Folk,training
000210,Ed Askew,In the French Court,Folk,Folk,training
000211,Ed Askew,In America,Folk,Folk,training
000212,Ed Askew,When I Arive,Folk,Folk,training
000213,Au,Boute,Pop,Pop,training
000255,Bird Names,We Want to be Old,Rock,Rock,training
000256,Black Elk,Toggle,Rock,"Rock, Metal",training
000368,Blah Blah Blah,Vampires,Rock,"Post-Punk, Rock, Punk",training
000424,Brian Joseph Davis,The Ambient Honky,Experimental,"Avant-Garde, Experimental",training
000459,CAVE,Machines and Muscles,Rock,"Krautrock, Rock",validation
000534,Charles Manson,I Can See You,Folk,Folk,training
000540,Charles Manson,The Black Pirate,Folk,Folk,training
000546,Charles Manson,If You Have No One,Folk,Folk,training
000574,Clockcleaner,Caliente Queen,Rock,"Punk, Rock",training
000602,Dora Bleu,Disappearing,Folk,Folk,validation
000615,EKG,"Immaterial, side A",Experimental,"Electroacoustic, Experimental",training
000620,Ed Askew,Arabesque,Folk,Folk,training
000621,Ed Askew,Blue Eyed Baby,Folk,Folk,training
000625,Ed Askew,Climbing To The Top,Folk,Folk,training
000666,Explode Into Colors,Heat,International,"International, Reggae - Dub",training
000667,Explode Into Colors,Sharpen The Knife,International,"International, Reggae - Dub",training
000676,Fanatic,The Tension,Hip-Hop,Hip-Hop,training
000690,Flying Luttenbachers,Cataclysm,Rock,Rock,validation
000694,Food For Animals,Planet Say (featuring Faust),Hip-Hop,Hip-Hop,training
000695,Food For Animals,Elephants,Hip-Hop,Hip-Hop,training
000704,Fósforo,Mano De Dios,International,"International, Latin America",test
000705,Fósforo,Tio Cocodrilo,International,"International, Latin America",test
000706,Fósforo,Esto Es Califas,International,"International, Latin America",test
000707,Fósforo,Cochabamba,International,"International, Latin America",test
000708,Fósforo,Desconocido,International,"International, Latin America",test
000709,Fósforo,Cumbia De Obama,International,"International, Latin America",test
000714,Fursaxa,Circle Moon,Folk,Folk,training
000715,Fursaxa,Kokopelli,Folk,Folk,training
000716,Fursaxa,Saxalainen,Folk,Folk,training
000718,Fursaxa,Song Of The Spindle Berry,Folk,Folk,training
